Freq(Hz),Eq=(1-S11)/(1+S11)(DB),Eq=(1-S11)/(1+S11)(DEG),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
150044062.5,-32.941803,46.620609,-0.2688556,-1.8773949,-78.426048,-136.67265,-82.122322,-167.45842,-0.89096141,95.076721
150045000,-32.977623,46.726875,-0.26722321,-1.8729372,-77.364357,-68.347664,-79.040703,-160.88249,-0.89018434,95.069977
150045937.5,-32.972759,46.791615,-0.26705161,-1.8759776,-78.655632,0.68347794,-82.006302,-114.61186,-0.89089,95.064949
150046875,-32.964962,46.725311,-0.26762068,-1.8756223,-85.835136,70.373085,-80.233208,-90.421066,-0.89023972,95.064743
150047812.5,-32.959976,46.716145,-0.26781976,-1.8764164,-77.762291,-100.06487,-81.780403,3.5751047,-0.89103532,95.054893
150048750,-32.978382,46.829071,-0.266693,-1.8759139,-84.511848,138.9305,-88.752556,72.199883,-0.89035237,95.04995
150049687.5,-32.972,46.742218,-0.2673201,-1.8746227,-88.231781,-0.956963,-76.600914,-62.194462,-0.89008814,95.037247
150050625,-32.96563,46.640087,-0.26802281,-1.8728509,-80.325539,3.3843343,-89.902473,-9.0846157,-0.89132267,95.034065
150051562.5,-32.99144,46.804611,-0.26641372,-1.8723449,-82.600517,-166.79857,-80.969009,45.782047,-0.88954693,95.029572
150052500,-32.977013,46.921932,-0.26627356,-1.8790576,-78.948219,28.251839,-82.855591,-127.59219,-0.89164752,95.030571
150053437.5,-32.947037,46.568451,-0.26895258,-1.8746498,-79.978302,117.90264,-75.950043,-63.744114,-0.89050347,95.025032
150054375,-32.980244,46.877598,-0.26639488,-1.8769999,-91.23468,32.486942,-76.765541,-154.12199,-0.88959759,95.009071
150055312.5,-33.006691,46.848232,-0.26573062,-1.8703935,-76.919312,50.896488,-77.26474,93.946297,-0.89139545,95.008499
150056250,-32.956814,46.538456,-0.2687988,-1.8716129,-84.207939,-6.8482642,-84.95237,91.420624,-0.89016014,95.004822
150057187.5,-32.954132,46.714279,-0.26800928,-1.8776228,-81.556923,134.42513,-84.288788,74.359978,-0.89111692,95.000633
150058125,-32.96212,46.451775,-0.2690635,-1.8677874,-75.143021,179.04892,-91.548027,-99.052834,-0.89172274,94.986847
150059062.5,-32.989864,46.579769,-0.26757437,-1.8657752,-84.947876,53.752167,-79.353142,-94.738663,-0.89121765,94.982018
150060000,-32.986439,46.799397,-0.26659289,-1.8732629,-83.887321,-140.3423,-85.550797,68.792046,-0.89120626,94.977562
150060937.5,-32.956013,46.824863,-0.2674014,-1.880623,-79.156792,140.62567,-105.42709,-56.220726,-0.8914091,94.968208
150061875,-32.946354,46.607986,-0.26877749,-1.8760203,-82.32206,-80.649101,-79.566345,14.161449,-0.89136583,94.966339
150062812.5,-32.990711,46.503086,-0.26792666,-1.8632306,-85.180382,134.92627,-84.489845,141.39502,-0.89046872,94.960831
150063750,-32.983913,46.694435,-0.26719055,-1.8705839,-83.287354,145.71823,-79.824295,107.80771,-0.89218825,94.952324
150064687.5,-33.001919,46.774654,-0.26624089,-1.8691695,-85.42495,-177.62102,-76.389671,138.36928,-0.89021593,94.950104
150065625,-32.953758,46.732399,-0.26793078,-1.8782628,-100.35195,162.18338,-80.900948,-98.761452,-0.89119548,94.936913
150066562.5,-33.010597,46.880245,-0.26545277,-1.8705306,-79.640556,-123.47675,-75.575539,94.744728,-0.89340961,94.942368
150067500,-32.989124,46.67556,-0.26712364,-1.8688811,-78.068306,155.12093,-82.496117,-164.26045,-0.8918395,94.927742
150068437.5,-32.956108,46.600777,-0.26851174,-1.8736919,-91.511787,102.3551,-78.83049,-4.3027577,-0.88984251,94.925644
150069375,-32.974987,46.789883,-0.26699176,-1.8754433,-90.057335,-137.24112,-102.18432,122.74107,-0.89147615,94.923904
150070312.5,-32.969021,46.552311,-0.26835293,-1.8694115,-79.477715,-134.74933,-79.396797,-91.437057,-0.89225882,94.907074
150071250,-32.974136,46.742733,-0.26725179,-1.874177,-81.676506,-172.80783,-96.712524,-139.69453,-0.89196908,94.906723
150072187.5,-33.005913,46.901634,-0.26548994,-1.8721933,-87.5242,30.882454,-89.282959,42.146645,-0.89189875,94.894814
150073125,-32.953449,47.02079,-0.26650324,-1.8871983,-76.396156,-126.49876,-76.231995,48.572056,-0.89325392,94.889961
150074062.5,-32.970287,46.801613,-0.26707789,-1.8768187,-80.367111,-37.012985,-78.861938,-70.471535,-0.89201748,94.886497
150075000,-33.00684,46.713764,-0.26639101,-1.8662442,-106.21291,-52.365704,-81.508499,-156.33662,-0.89181918,94.879044
150075937.5,-32.98476,46.822041,-0.26653209,-1.8743203,-83.687187,143.1523,-81.041183,128.91093,-0.89212167,94.873871
150076875,-32.977375,46.587162,-0.2679227,-1.8686886,-92.129059,55.022411,-79.297226,159.12596,-0.89085931,94.874474
150077812.5,-32.99028,46.695869,-0.26698771,-1.869257,-84.593971,38.052765,-86.283546,75.283211,-0.89140141,94.8666
150078750,-32.979706,46.661327,-0.26748383,-1.8704715,-80.480415,-117.05907,-82.681793,30.01565,-0.89064485,94.85656
150079687.5,-32.984203,46.749588,-0.26690844,-1.8722163,-79.073944,171.87282,-78.821152,114.31718,-0.89153934,94.854523
150080625,-32.989964,46.753857,-0.2667104,-1.8711058,-79.076195,-2.7979763,-85.650459,9.7950792,-0.8919996,94.848778
150081562.5,-32.985661,47.078484,-0.26522985,-1.8819724,-81.787384,-171.28125,-85.531097,-60.982285,-0.89206171,94.845375
150082500,-32.994808,46.777447,-0.26644492,-1.8707852,-80.516312,-42.10611,-74.906219,71.061661,-0.89134842,94.832497
150083437.5,-32.960251,46.664799,-0.26806617,-1.8747739,-93.841583,93.134537,-79.59375,-133.8141,-0.8925615,94.833664
150084375,-32.982063,46.69178,-0.26726055,-1.8709006,-77.183655,-173.24162,-88.875542,48.376934,-0.89031976,94.825119
150085312.5,-32.95446,46.762894,-0.26775751,-1.8790509,-76.965836,-103.95489,-81.279892,-77.416039,-0.8919965,94.824417
150086250,-32.974716,46.786674,-0.26701602,-1.875403,-79.048759,-16.014679,-79.882317,-103.41051,-0.89227718,94.815613
150087187.5,-32.964531,46.675728,-0.26787996,-1.8741872,-76.687607,112.5313,-80.127914,46.582573,-0.8929103,94.79847
150088125,-32.995552,46.773209,-0.26644316,-1.8704956,-80.05127,167.61067,-81.080269,47.355293,-0.89249372,94.798126
150089062.5,-32.993675,46.731728,-0.26670599,-1.8696269,-72.587029,-16.72965,-92.297173,176.27126,-0.89119005,94.793304
150090000,-32.972546,46.797684,-0.26702803,-1.8762101,-82.519402,-43.41711,-83.699234,66.530479,-0.89270443,94.796143
