Frequency,admitance_abs,admitance_r,admitance_i,impedance_abs,impedance_r,impedance_i
150028000,0.00046122104315136095,0.0002976005020547171,0.00035236173433335507,2168.1577951590243,1398.9926477865004,-1656.4201750003408
150029000,0.0004612249059964768,0.0002976021393327434,0.00035236540774604027,2168.139636430733,1398.9769107976826,-1656.409697543746
150030000,0.0004612287694360881,0.00029760377646581354,0.00035236908205575325,2168.12147521203,1398.9611698520491,-1656.399220152489
150031000,0.0004612326334704401,0.0002976054134538774,0.0003523727572628509,2168.103311501893,1398.945424948112,-1656.38874282646
150032000,0.0004612364980997791,0.0002976070502968855,0.00035237643336769075,2168.0851452993006,1398.9296760843831,-1656.3782655655475
150033000,0.00046124036332435093,0.0002976086869947878,0.0003523801103706304,2168.066976603229,1398.9139232593727,-1656.367788369641
150034000,0.00046124422914440113,0.0002976103235475343,0.00035238378827202703,2168.0488054126554,1398.898166471592,-1656.3573112386287
150035000,0.00046124809556017624,0.00029761195995507537,0.00035238746707223865,2168.0306317265567,1398.8824057195513,-1656.3468341724006
150036000,0.0004612519625719223,0.00029761359621736076,0.00035239114677162336,2168.012455543908,1398.8666410017577,-1656.336357170845
150037000,0.0004612558301798859,0.0002976152323343407,0.00035239482737053923,2167.9942768636847,1398.8508723167206,-1656.325880233851
150038000,0.00046125969838431327,0.00029761686830596506,0.0003523985088693445,2167.9760956848604,1398.8350996629463,-1656.3154033613062
150039000,0.0004612635671854514,0.00029761850413218395,0.0003524021912683981,2167.9579120064113,1398.8193230389427,-1656.3049265531008
150040000,0.00046126743658354694,0.00029762013981294737,0.00035240587456805846,2167.939725827308,1398.8035424432144,-1656.2944498091206
150041000,0.00046127130657884675,0.000297621775348205,0.0003524095587686847,2167.9215371465266,1398.787757874267,-1656.2839731292574
150042000,0.00046127517717159795,0.00029762341073790696,0.00035241324387063575,2167.9033459630377,1398.7719693306053,-1656.273496513397
150043000,0.00046127904836204797,0.00029762504598200324,0.0003524169298742713,2167.8851522758127,1398.7561768107319,-1656.2630199614277
150044000,0.0004612829201504436,0.00029762668108044334,0.00035242061677995035,2167.8669560838243,1398.7403803131501,-1656.2525434732383
150045000,0.0004612867925370326,0.0002976283160331773,0.0003524243045880328,2167.848757386044,1398.724579836362,-1656.2420670487168
150046000,0.0004612906655220628,0.0002976299508401551,0.00035242799329887863,2167.83055618144,1398.7087753788696,-1656.2315906877502
150047000,0.00046129453910578134,0.00029763158550132616,0.0003524316829128477,2167.812352468984,1398.6929669391723,-1656.221114390227
150048000,0.0004612984132884366,0.00029763322001664054,0.0003524353734303004,2167.7941462476456,1398.6771545157717,-1656.2106381560354
150049000,0.0004613022880702764,0.0002976348543860478,0.0003524390648515973,2167.7759375163914,1398.6613381071645,-1656.200161985062
150050000,0.000461306163451549,0.00029763648860949775,0.0003524427571770989,2167.757726274191,1398.6455177118503,-1656.189685877195
150051000,0.00046131003943250217,0.00029763812268693995,0.0003524464504071658,2167.7395125200123,1398.629693328327,-1656.1792098323212
150052000,0.0004613139160133846,0.00029763975661832413,0.0003524501445421591,2167.7212962528233,1398.6138649550917,-1656.1687338503286
150053000,0.00046131779319444485,0.0002976413904035999,0.00035245383958244016,2167.7030774715886,1398.5980325906391,-1656.1582579311037
150054000,0.000461321670975932,0.00029764302404271714,0.00035245753552837043,2167.6848561752745,1398.5821962334655,-1656.1477820745333
150055000,0.00046132554935809385,0.00029764465753562497,0.0003524612323803111,2167.666632362848,1398.5663558820654,-1656.1373062805055
150056000,0.0004613294283411799,0.00029764629088227306,0.0003524649301386241,2167.6484060332737,1398.5505115349326,-1656.1268305489073
150057000,0.00046133330792543956,0.0002976479240826113,0.00035246862880367166,2167.630177185515,1398.53466319056,-1656.1163548796244
150058000,0.0004613371881111213,0.00029764955713658864,0.0003524723283758155,2167.6119458185376,1398.5188108474397,-1656.1058792725453
150059000,0.0004613410688984747,0.00029765119004415496,0.0003524760288554181,2167.593711931303,1398.5029545040632,-1656.095403727554
150060000,0.0004613449502877495,0.0002976528228052598,0.00035247973024284205,2167.5754755227754,1398.4870941589224,-1656.0849282445388
150061000,0.0004613488322791951,0.00029765445541985234,0.00035248343253845,2167.557236591918,1398.471229810507,-1656.0744528233865
150062000,0.000461352714873061,0.0002976560878878819,0.0003524871357426048,2167.5389951376897,1398.4553614573047,-1656.0639774639822
