Frequency,admitance_abs,admitance_r,admitance_i,impedance_abs,impedance_r,impedance_i
150000000.0,0.0004486646019221889,0.0003084754993895816,0.00032579562810808934,2228.836408568352,1532.4173586354,-1618.4587653421304
150000937.5,0.000449389571650199,0.00030828637578386497,0.00032697170766596756,2225.2407779021205,1526.5405740209267,-1619.0646668698241
150001875.0,0.00044955050642398126,0.00030845663004745694,0.0003270323610987517,2224.444163025507,1526.2902398078168,-1618.205777484942
150002812.5,0.0004499104547375959,0.0003086831573593072,0.0003273134974987734,2222.6645090593674,1524.9681157266682,-1617.0064210908918
150003750.0,0.0004500412701131927,0.00030824264879567075,0.00032790793565957575,2222.0184378834147,1521.9067548932426,-1619.001472421866
150004687.5,0.00044885954446157323,0.00030809425464959386,0.00032642429582701443,2227.8684108178136,1529.1943013301604,-1620.1735847430834
150005625.0,0.00044935911444360355,0.0003084901001839147,0.0003267376192330137,2225.391602968197,1527.7564346238748,-1618.124860147296
150006562.5,0.00044987765641171264,0.0003081518307474507,0.00032776875224079785,2222.8265523923715,1522.5652169906698,-1619.4915998642011
150007500.0,0.0004486553632770746,0.00030743508375482767,0.0003267649067356314,2228.882304439217,1527.3117720911866,-1623.3407152763566
150008437.5,0.0004509972961186962,0.00030868669748138235,0.0003288024998451388,2217.308193654421,1517.6444503947844,-1616.5429000904812
150009375.0,0.00044866508621473815,0.0003074701778673015,0.000326745236094313,2228.834002745121,1527.4199136875486,-1623.1726399442414
150010312.5,0.00044940990701746114,0.0003081122997385417,0.0003271636826960933,2225.14008789112,1525.5405344099731,-1619.868664000954
150011250.0,0.00044911415977129713,0.0003083623897574032,0.0003265213087842532,2226.6053702454074,1528.7902598421297,-1618.818030606751
150012187.5,0.0004509825585818561,0.0003089353939255602,0.0003285486121186577,2217.3806524681518,1518.9664263453496,-1615.4002456282233
150013125.0,0.0004478544440232006,0.00030755718248605965,0.00032554904781394574,2232.8683199316424,1533.3881320266235,-1623.090191799044
150014062.5,0.0004489046517759138,0.00030817910981695556,0.00032640622337584696,2227.644547776186,1529.308085818091,-1619.7583183575177
150015000.0,0.0004508038635445138,0.0003094498511504896,0.0003278184146895967,2218.25960438166,1522.702354393792,-1613.0880981381902
150015937.5,0.0004511696333463968,0.0003089553866713978,0.00032878656770106836,2216.461228968045,1517.8052453548464,-1615.2298959256084
150016875.0,0.0004482395201665941,0.00030687378945122573,0.0003267218155970356,2230.950094780407,1527.3532985386623,-1626.139670152529
150017812.5,0.0004475637034694129,0.0003066629500078498,0.000325992490336418,2234.3188070172428,1530.9168087281093,-1627.413363637124
150018750.0,0.00044740801159804907,0.0003067505331458229,0.0003256962377075815,2235.096319415948,1532.4200055430974,-1627.0662198195903
150019687.5,0.0004489994865646257,0.0003074194056952729,0.00032725196399298014,2227.1740389976735,1524.8937692271902,-1623.2692914477568
150020625.0,0.00044960945672125116,0.00030840889052874133,0.0003271584017200375,2224.152506249398,1525.6538681844731,-1618.4049695762901
150021562.5,0.0004507819732729353,0.00030844156927956593,0.00032873725947662227,2218.3673245392047,1517.8883349115188,-1617.766543516946
150022500.0,0.0004488726993454495,0.0003059420143589785,0.00032846032342984886,2227.8031198115523,1518.4228737106253,-1630.1836452481211
150023437.5,0.00044774868039802957,0.00030610480596755904,0.0003267701463746955,2233.395750292422,1526.868090787658,-1629.947977930186
150024375.0,0.0004505409216957405,0.000308669544211571,0.0003281923743761703,2219.5542110496904,1520.6360924973853,-1616.8137709651962
150025312.5,0.00044933005053867986,0.00030787173102438245,0.0003272804478625982,2225.5355474247517,1524.8912923151406,-1621.0228312619934
150026250.0,0.00044838739520347527,0.0003058449341825636,0.0003278873776347922,2230.2143429928065,1521.2286657525503,-1630.8646057179458
150027187.5,0.00044945414024763226,0.00030821683278972264,0.00032712598210904984,2224.9210997345326,1525.757742913165,-1619.363211260663
150028125.0,0.00045016157958778974,0.0003084046127025872,0.00032792078708240066,2221.4245847361904,1521.8926264896043,-1618.1996227619536
150029062.5,0.0004507141479679818,0.00030840468560292455,0.00032867886010004517,2218.701153510417,1518.163640480696,-1617.9659975756153
150030000.0,0.0004489790702179374,0.000307443811273327,0.00032720102139738885,2227.275314892977,1525.1535249367155,-1623.1642103326212
150030937.5,0.0004486969174314403,0.00030710978532338793,0.00032712765623086547,2228.675885995614,1525.4131381638167,-1624.8418269897998
150031875.0,0.00044836957235464827,0.0003066275295925723,0.00032713121451406367,2230.3029948005583,1525.2424332614753,-1627.2329176841752
150032812.5,0.0004490432715311399,0.000307541085380394,0.0003271977085959471,2226.956873421624,1525.199857938235,-1622.6836750965983
150033750.0,0.0004493109526511988,0.00030805400173117514,0.00032708265651015025,2225.6301434439292,1525.923790675265,-1620.180891276488
150034687.5,0.000449415643174939,0.0003079908962176287,0.00032728585086649545,2225.1116871130475,1524.900508261798,-1620.432183101157
150035625.0,0.0004483774497208049,0.0003072549786395445,0.00032655277600924783,2230.263811488855,1528.3098206349446,-1624.2985442915287
150036562.5,0.00045022341356262233,0.000308498214114422,0.00032791763296320664,2221.1194928468635,1521.9363903265348,-1617.739603676731
150037500.0,0.0004489056657250537,0.0003074978820448248,0.0003270494599567482,2227.639516166208,1525.9206677066393,-1622.9429841651686
150038437.5,0.0004494818052052496,0.0003084103096041245,0.00032698161131852353,2224.7841590459284,1526.5275776410735,-1618.4492914648188
150039375.0,0.00044887729825385497,0.0003071066183161688,0.00032737799845757395,2227.780295171993,1524.1716956127923,-1624.7786574944414
150040312.5,0.0004485053431047285,0.00030725993452603077,0.000326723698908649,2229.6278413934533,1527.4629725068821,-1624.2220226118316
150041250.0,0.00044876949765982525,0.00030654147217959834,0.00032775964953577863,2228.315438581793,1522.0978666896149,-1627.4543858556808
150042187.5,0.000449721802932228,0.00030872284337461227,0.0003270166754330861,2223.5968847405584,1526.444011164576,-1616.8957253353462
150043125.0,0.00044925899836173976,0.0003080551280851824,0.0003270102225763218,2225.8875251171576,1526.2823207851668,-1620.1967632762478
150044062.5,0.0004507542923916368,0.00030958980836481636,0.0003276180438652937,2218.5035547729644,1523.7261230162148,-1612.4567357229328
150045000.0,0.0004488991586079476,0.000307710001521594,0.00032684095453676523,2227.6718074077526,1527.0175541712756,-1621.9553232971916
150045937.5,0.00044915064760214714,0.00030751270058337134,0.0003273717202529107,2226.424486614089,1524.3299996977928,-1622.7704848856895
150046875.0,0.00044955406275223094,0.0003081678556762036,0.00032730937668353985,2224.4265659126486,1524.837214749608,-1619.5508684979911
150047812.5,0.0004498120642811082,0.00030839713189116923,0.0003274478618255624,2223.150687605953,1524.2216700330328,-1618.3779782252766
150048750.0,0.00044886010883920277,0.00030709981682995184,0.0003273608098263306,2227.8656095907136,1524.2546779138108,-1624.817790170598
150049687.5,0.00044918989560246774,0.00030782170168176847,0.0003271350826265752,2226.2299526101224,1525.5950747250197,-1621.3141181995638
150050625.0,0.0004495194151371318,0.000308630594730568,0.0003268254282969502,2224.598018074323,1527.3623034619568,-1617.4055570522785
150051562.5,0.00044818574976537265,0.0003067779609481831,0.0003267380433454669,2231.2177496127133,1527.242738118994,-1626.6106679379727
150052500.0,0.0004489308390224443,0.0003066171785840013,0.00032790974981324115,2227.514603758413,1521.379650696971,-1627.0295843659892
150053437.5,0.000450482721378037,0.0003097012210290248,0.00032713886341016285,2219.840967353866,1526.1128239873528,-1612.0401883339925
150054375.0,0.00044876386858365316,0.000306756677572475,0.0003275505312327595,2228.3433894892314,1523.2046572904594,-1626.456834191738
150055312.5,0.00044739941650197393,0.0003059913175062682,0.00032639784235972654,2235.139258380304,1528.685959917328,-1630.6338461789921
150056250.0,0.000449976020686317,0.0003095239021873253,0.00032660889940022133,2222.340644896565,1528.6760111099372,-1613.055360183367
150057187.5,0.0004501149403498804,0.00030861543784903317,0.0003276583144793154,2221.654760498876,1523.248608739347,-1617.2394846839975
150058125.0,0.0004497011867512836,0.0003098283200584739,0.0003259410521171838,2223.6988237104474,1532.0503729229838,-1611.7251978540803
150059062.5,0.00044826704810142385,0.0003081136733559545,0.0003255907104090416,2230.813092854801,1533.3360315490647,-1620.3109792893988
150060000.0,0.0004484437387113595,0.00030698432489541087,0.00032689816618930554,2229.93413370784,1526.5121697643935,-1625.5358612582304
150060937.5,0.0004500175487455374,0.00030791583292017534,0.00032818231825620464,2222.135565129769,1520.4534252182596,-1620.5270289497369
150061875.0,0.00045051810769733544,0.0003094997567264697,0.0003273781696287093,2219.666608099627,1524.8804953301233,-1612.9660027645532
150062812.5,0.0004482233504730383,0.0003085190504029502,0.0003251463784939608,2231.030576485246,1535.6527814776987,-1618.415264371878
150063750.0,0.00044857426929098196,0.0003076721927805175,0.00032643023275972236,2229.285245407896,1529.0424055575459,-1622.264475170475
150064687.5,0.00044764544508893493,0.0003065786993924363,0.000326183913747617,2233.9108126104347,1529.937317585668,-1627.774346448728
150065625.0,0.00045013438208292176,0.00030852511510960835,0.00032777006464864474,2221.558805112127,1522.6712585214618,-1617.6513107106523
150066562.5,0.00044719828018976006,0.00030567143241091153,0.0003264219312677087,2236.1445566733228,1528.4618478992277,-1632.2214487796102
150067500.0,0.0004483051050302444,0.0003075950083647863,0.0003261330679726383,2230.6237175964143,1530.4949985489698,-1622.7344911969535
150068437.5,0.0004500125744737636,0.00030919358640123956,0.00032697193046627685,2222.1601277905547,1526.796579568592,-1614.5859649333584
150069375.0,0.00044903549222681554,0.0003074437466267841,0.00032727849904853857,2226.99545428116,1524.769952570198,-1623.1405808271898
150070312.5,0.0004493440919421966,0.0003090103674556132,0.0003262249312488304,2225.466002407374,1530.4353155985004,-1615.6938672409376
150071250.0,0.0004490793481281695,0.00030774301532008545,0.00032705733050479596,2226.777971795323,1525.9560929376248,-1621.7268999740468
150072187.5,0.00044743947491724545,0.00030571437221697714,0.00032671211537713124,2234.9391505631843,1527.0289227027558,-1631.9116630349051
150073125.0,0.0004501503473556046,0.00030688233276530573,0.0003293304860787954,2221.480014120793,1514.4561654338695,-1625.2372061079143
150074062.5,0.0004492784104674219,0.00030754303142062247,0.00032751850930405027,2225.7913505338274,1523.6134283434728,-1622.5748848921114
150075000.0,0.00044739179129433876,0.00030675128153967885,0.0003256732506536602,2235.1773534041104,1532.5348631041247,-1627.0693576307756
150075937.5,0.0004485304782878475,0.00030691441670180916,0.00032708275829476777,2229.5028953600327,1525.574322789468,-1625.8247587191631
150076875.0,0.0004489120727680849,0.000308514969652826,0.00032609900732301247,2227.6077224516825,1530.924139894153,-1618.1802875500987
150077812.5,0.0004482455629903467,0.0003074385414477966,0.0003261987553210226,2230.9200192162293,1530.1228911646774,-1623.492553131547
150078750.0,0.0004487915357916029,0.0003080098439494905,0.00032641044503568833,2228.2060160429037,1529.2387056234047,-1620.59588767621
150079687.5,0.00044855925171044655,0.00030734753488374165,0.0003267153120010186,2229.3598809673035,1527.5312261897438,-1623.789959287163
150080625.0,0.0004482618651981463,0.00030711942865728974,0.0003265216016317159,2230.838886011283,1528.4234892374764,-1624.9811607791646
150081562.5,0.00044848400349201134,0.0003054157762884002,0.0003284190996004591,2229.733930783972,1518.4397081825978,-1632.805638985758
150082500.0,0.0004480118211450229,0.0003068137460203194,0.00032646579780837526,2232.0839602941605,1528.6070790262434,-1626.5175079762655
150083437.5,0.00044979785633259364,0.00030868068560131946,0.0003271610397007809,2223.220911174261,1525.7194880827008,-1617.0625416375126
150084375.0,0.0004486697619725491,0.00030775281341695207,0.00032648546850120994,2228.8107752204432,1528.7920978505258,-1621.8483878860386
150085312.5,0.00045009799585888575,0.00030832569403068267,0.0003279077191477557,2221.738397416704,1521.9330893285921,-1618.5923446508923
150086250.0,0.00044904947746909587,0.00030747167432352207,0.0003272714510982557,2226.9260965097446,1524.8134778994806,-1623.0045276992353
150087187.5,0.00044957629849652283,0.00030846624542172133,0.00032705874641302744,2224.316547256183,1526.1626919748048,-1618.1506543032037
150088125.0,0.000447973585023228,0.0003068116943706554,0.0003264152525173583,2232.274476514353,1528.857810676994,-1626.5433081321191
